country,co2_emmission_all,food_category,consumption,co2_emmission
Chile,1099.57,Wheat and Wheat Products,104.74,19.97
Chile,1099.57,Rice,8.850000000000001,11.33
Chile,1099.57,Soybeans,0.04,0.02
Chile,1099.57,Nuts inc. Peanut Butter,2.22,3.93
China,640.19,Pork,38.43,136.02
China,640.19,Poultry,13.2,14.18
China,640.19,Beef,5.119999999999999,157.99
China,640.19,Lamb & Goat,3.13,109.61
China,640.19,Fish,21.01,33.55
China,640.19,Eggs,18.76,17.23
China,640.19,Milk - inc. cheese,32.660000000000004,46.52
China,640.19,Wheat and Wheat Products,63.36,12.08
China,640.19,Rice,78.17999999999999,100.05
China,640.19,Soybeans,3.66,1.65
China,640.19,Nuts inc. Peanut Butter,6.39,11.31
Colombia,781.53,Pork,6.51,23.04
Colombia,781.53,Poultry,27.57,29.62
Colombia,781.53,Beef,16.36,504.84
Colombia,781.53,Lamb & Goat,0.21,7.35
Colombia,781.53,Fish,6.01,9.6
Colombia,781.53,Eggs,10.78,9.9
Colombia,781.53,Milk - inc. cheese,108.47,154.5
Colombia,781.53,Wheat and Wheat Products,29.79,5.68
Colombia,781.53,Rice,28.02,35.86
Colombia,781.53,Soybeans,0.89,0.4
Colombia,781.53,Nuts inc. Peanut Butter,0.42,0.74
Congo,262.54999999999995,Pork,2.39,8.46
Congo,262.54999999999995,Poultry,13.02,13.99
Congo,262.54999999999995,Beef,4.35,134.23
Congo,262.54999999999995,Lamb & Goat,0.4,14.01
Congo,262.54999999999995,Fish,26.22,41.86
Congo,262.54999999999995,Eggs,0.6,0.55
Congo,262.54999999999995,Milk - inc. cheese,10.69,15.23
Congo,262.54999999999995,Wheat and Wheat Products,40.07,7.64
Congo,262.54999999999995,Rice,16.51,21.130000000000003
Congo,262.54999999999995,Soybeans,0.0,0.0
Congo,262.54999999999995,Nuts inc. Peanut Butter,3.08,5.45
Costa Rica,891.27,Pork,10.28,36.39
Costa Rica,891.27,Poultry,24.47,26.29
Costa Rica,891.27,Beef,15.23,469.97
Costa Rica,891.27,Lamb & Goat,0.02,0.7
Costa Rica,891.27,Fish,11.32,18.07
Costa Rica,891.27,Eggs,10.55,9.69
Costa Rica,891.27,Milk - inc. cheese,183.28,261.06
Costa Rica,891.27,Wheat and Wheat Products,39.31,7.5
Costa Rica,891.27,Rice,45.690000000000005,58.47
Costa Rica,891.27,Soybeans,1.54,0.69
Costa Rica,891.27,Nuts inc. Peanut Butter,1.38,2.44
Croatia,996.15,Pork,42.790000000000006,151.46
Croatia,996.15,Poultry,8.52,9.15
Croatia,996.15,Beef,12.41,382.95
Croatia,996.15,Lamb & Goat,1.71,59.88
Croatia,996.15,Fish,15.83,25.28
Croatia,996.15,Eggs,8.48,7.79
Croatia,996.15,Milk - inc. cheese,231.02,329.06
Croatia,996.15,Wheat and Wheat Products,106.59,20.33
Croatia,996.15,Rice,2.64,3.38
Croatia,996.15,Soybeans,0.0,0.0
Croatia,996.15,Nuts inc. Peanut Butter,3.88,6.87
Cuba,591.69,Pork,19.82,70.14999999999999
Cuba,591.69,Poultry,20.15,21.65
Cuba,591.69,Beef,6.39,197.18
Cuba,591.69,Lamb & Goat,1.24,43.42
Cuba,591.69,Fish,4.76,7.6
Cuba,591.69,Eggs,9.82,9.02
Cuba,591.69,Milk - inc. cheese,99.94,142.35000000000002
Cuba,591.69,Wheat and Wheat Products,54.620000000000005,10.42
Cuba,591.69,Rice,67.7,86.64
Cuba,591.69,Soybeans,6.34,2.85
Cuba,591.69,Nuts inc. Peanut Butter,0.23,0.41
Cyprus,741.37,Pork,38.38,135.85000000000002
Cyprus,741.37,Poultry,24.45,26.26
Cyprus,741.37,Beef,5.79,178.67
