country,food_category,consumption,co2_emmission,category
Kuwait,Nuts inc. Peanut Butter,5.23,9.26,Non-Animal Products
United Kingdom,Pork,25.79,91.28,Animal Products
United Kingdom,Poultry,31.55,33.89,Animal Products
United Kingdom,Beef,18.12,559.15,Animal Products
United Kingdom,Lamb & Goat,4.49,157.23999999999998,Animal Products
United Kingdom,Fish,15.49,24.73,Animal Products
United Kingdom,Eggs,11.08,10.18,Animal Products
United Kingdom,Milk - inc. cheese,232.2,330.75,Animal Products
United Kingdom,Wheat and Wheat Products,98.63,18.81,Non-Animal Products
United Kingdom,Rice,6.39,8.18,Non-Animal Products
United Kingdom,Soybeans,0.05,0.02,Non-Animal Products
United Kingdom,Nuts inc. Peanut Butter,4.18,7.4,Non-Animal Products
Austria,Pork,52.56,186.04,Animal Products
Austria,Poultry,18.610000000000003,19.99,Animal Products
Austria,Beef,17.14,528.9,Animal Products
Austria,Lamb & Goat,1.16,40.620000000000005,Animal Products
Austria,Fish,12.16,19.42,Animal Products
Austria,Eggs,14.68,13.49,Animal Products
Austria,Milk - inc. cheese,258.09,367.62,Animal Products
Austria,Wheat and Wheat Products,81.1,15.47,Non-Animal Products
Austria,Rice,3.7,4.73,Non-Animal Products
Austria,Soybeans,2.06,0.93,Non-Animal Products
Austria,Nuts inc. Peanut Butter,7.88,13.95,Non-Animal Products
Oman,Pork,0.01,0.04,Animal Products
Oman,Poultry,31.51,33.849999999999994,Animal Products
Oman,Beef,15.1,465.95,Animal Products
Oman,Lamb & Goat,12.87,450.71,Animal Products
Oman,Fish,21.56,34.42,Animal Products
Oman,Eggs,7.8,7.17,Animal Products
Oman,Milk - inc. cheese,152.28,216.91,Animal Products
Oman,Wheat and Wheat Products,64.1,12.22,Non-Animal Products
Oman,Rice,56.55,72.36999999999999,Non-Animal Products
Oman,Soybeans,0.21,0.09,Non-Animal Products
Oman,Nuts inc. Peanut Butter,1.6800000000000002,2.97,Non-Animal Products
Italy,Pork,40.28,142.57,Animal Products
Italy,Poultry,18.610000000000003,19.99,Animal Products
Italy,Beef,18.6,573.9599999999999,Animal Products
Italy,Lamb & Goat,0.92,32.220000000000006,Animal Products
Italy,Fish,15.6,24.91,Animal Products
Italy,Eggs,13.34,12.25,Animal Products
Italy,Milk - inc. cheese,246.88,351.66,Animal Products
Italy,Wheat and Wheat Products,146.37,27.91,Non-Animal Products
Italy,Rice,5.74,7.35,Non-Animal Products
Italy,Soybeans,0.01,0.0,Non-Animal Products
Italy,Nuts inc. Peanut Butter,7.63,13.51,Non-Animal Products
Bahamas,Pork,32.74,115.88,Animal Products
Bahamas,Poultry,45.74,49.13,Animal Products
Bahamas,Beef,19.92,614.69,Animal Products
Bahamas,Lamb & Goat,5.22,182.8,Animal Products
Bahamas,Fish,18.8,30.02,Animal Products
Bahamas,Eggs,6.2,5.7,Animal Products
