country,food_category,consumption,co2_emission,category,co2_emission_category,co2_emission_all,co2_emission_animal,co2_emission_non_animals,co2_emission_range
Norway,Poultry,21.01,22.57,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
Norway,Beef,19.83,611.91,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
Norway,Lamb & Goat,5.34,187.01,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
Norway,Fish,38.18,60.96,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
Norway,Eggs,11.41,10.48,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
Norway,Milk - inc. cheese,261.34000000000003,372.25,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
Norway,Wheat and Wheat Products,97.12,18.52,Non-Animal Products,33.5,1381.89,1348.39,33.5,1000-1500
Norway,Rice,4.359999999999999,5.58,Non-Animal Products,33.5,1381.89,1348.39,33.5,1000-1500
Norway,Soybeans,0.11,0.05,Non-Animal Products,33.5,1381.89,1348.39,33.5,1000-1500
Norway,Nuts inc. Peanut Butter,5.28,9.35,Non-Animal Products,33.5,1381.89,1348.39,33.5,1000-1500
Hong Kong SAR. China,Pork,67.11,237.54,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Poultry,54.86,58.93,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Beef,25.82,796.75,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Lamb & Goat,2.22,77.74000000000001,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Fish,42.44,67.76,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Eggs,14.5,13.32,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Milk - inc. cheese,105.85,150.76999999999998,Animal Products,1402.81,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Wheat and Wheat Products,53.14,10.13,Non-Animal Products,91.47,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Rice,43.48,55.64,Non-Animal Products,91.47,1494.28,1402.81,91.47,1000-1500
Hong Kong SAR. China,Soybeans,2.79,1.26,Non-Animal Products,91.47,1494.28,1402.81,91.47,1000-1500
