country,co2_emmission_all,food_category_x,consumption,co2_emmission_x,food_category_y,co2_emmission_y
Bangladesh,374.18,Poultry,1.4,1.5,Non-Animal Products,224.63
Bangladesh,374.18,Beef,1.28,39.5,Animal Products,149.55
Bangladesh,374.18,Beef,1.28,39.5,Non-Animal Products,224.63
Bangladesh,374.18,Lamb & Goat,1.33,46.58,Animal Products,149.55
Bangladesh,374.18,Lamb & Goat,1.33,46.58,Non-Animal Products,224.63
Bangladesh,374.18,Fish,18.07,28.85,Animal Products,149.55
Bangladesh,374.18,Fish,18.07,28.85,Non-Animal Products,224.63
Bangladesh,374.18,Eggs,2.08,1.91,Animal Products,149.55
Bangladesh,374.18,Eggs,2.08,1.91,Non-Animal Products,224.63
Bangladesh,374.18,Milk - inc. cheese,21.91,31.21,Animal Products,149.55
Bangladesh,374.18,Milk - inc. cheese,21.91,31.21,Non-Animal Products,224.63
Bangladesh,374.18,Wheat and Wheat Products,17.47,3.33,Animal Products,149.55
Bangladesh,374.18,Wheat and Wheat Products,17.47,3.33,Non-Animal Products,224.63
Bangladesh,374.18,Rice,171.73,219.76,Animal Products,149.55
Bangladesh,374.18,Rice,171.73,219.76,Non-Animal Products,224.63
Bangladesh,374.18,Soybeans,0.61,0.27,Animal Products,149.55
Bangladesh,374.18,Soybeans,0.61,0.27,Non-Animal Products,224.63
Bangladesh,374.18,Nuts inc. Peanut Butter,0.72,1.27,Animal Products,149.55
Bangladesh,374.18,Nuts inc. Peanut Butter,0.72,1.27,Non-Animal Products,224.63
Barbados,889.11,Pork,8.3,29.38,Animal Products,849.13
Barbados,889.11,Pork,8.3,29.38,Non-Animal Products,39.98
Barbados,889.11,Poultry,42.620000000000005,45.78,Animal Products,849.13
Barbados,889.11,Poultry,42.620000000000005,45.78,Non-Animal Products,39.98
Barbados,889.11,Beef,13.13,405.16,Animal Products,849.13
Barbados,889.11,Beef,13.13,405.16,Non-Animal Products,39.98
Barbados,889.11,Lamb & Goat,4.08,142.88000000000002,Animal Products,849.13
Barbados,889.11,Lamb & Goat,4.08,142.88000000000002,Non-Animal Products,39.98
Barbados,889.11,Fish,37.41,59.73,Animal Products,849.13
Barbados,889.11,Fish,37.41,59.73,Non-Animal Products,39.98
Barbados,889.11,Eggs,9.61,8.83,Animal Products,849.13
Barbados,889.11,Eggs,9.61,8.83,Non-Animal Products,39.98
Barbados,889.11,Milk - inc. cheese,110.48,157.37,Animal Products,849.13
Barbados,889.11,Milk - inc. cheese,110.48,157.37,Non-Animal Products,39.98
Barbados,889.11,Wheat and Wheat Products,65.71000000000001,12.53,Animal Products,849.13
